title,link
Austin Kickboxing Academy,https://www.google.com/maps/place/Austin+Kickboxing+Academy/data=!4m7!3m6!1s0x8644b42da16ef893:0xb1aa3b2756829103!8m2!3d30.2226672!4d-97.7565315!16s%2Fg%2F1hg4ys3hz!19sChIJk_huoS20RIYRA5GCVic7qrE?authuser=0&hl=en&rclk=1
Gold's Gym Austin Downtown,https://www.google.com/maps/place/Gold's+Gym+Austin+Downtown/data=!4m7!3m6!1s0x8644b509b8330cbd:0x5174ce73e798309b!8m2!3d30.2673606!4d-97.7419662!16s%2Fg%2F1td7j3j4!19sChIJvQwzuAm1RIYRmzCY53POdFE?authuser=0&hl=en&rclk=1
Ghostletics Gym,https://www.google.com/maps/place/Ghostletics+Gym/data=!4m7!3m6!1s0x865b532259aeb689:0xfbc068c61709a44c!8m2!3d30.0593983!4d-97.8008502!16s%2Fg%2F11rc74b4v8!19sChIJibauWSJTW4YRTKQJF8ZowPs?authuser=0&hl=en&rclk=1
MOVE Austin Fitness,https://www.google.com/maps/place/MOVE+Austin+Fitness/data=!4m7!3m6!1s0x8644caa0a5ed17df:0xca4ebb3c3dd2e031!8m2!3d30.297688!4d-97.767964!16s%2Fg%2F1hc2t5tjs!19sChIJ3xftpaDKRIYRMeDSPTy7Tso?authuser=0&hl=en&rclk=1
Atomic Outpost - North Austin,https://www.google.com/maps/place/Atomic+Outpost+-+North+Austin/data=!4m7!3m6!1s0x8644cbc633ad3d63:0xbc4cf9a109b0d396!8m2!3d30.3766651!4d-97.7123517!16s%2Fg%2F11hz1h9wpm!19sChIJYz2tM8bLRIYRltOwCaH5TLw?authuser=0&hl=en&rclk=1
413 FITNESS,https://www.google.com/maps/place/413+FITNESS/data=!4m7!3m6!1s0x865b4b9c85583a9b:0x405c43fc5e23d1f9!8m2!3d30.2417063!4d-97.7812914!16s%2Fg%2F11dxd2rb70!19sChIJmzpYhZxLW4YR-dEjXvxDXEA?authuser=0&hl=en&rclk=1
Anytime Fitness,https://www.google.com/maps/place/Anytime+Fitness/data=!4m7!3m6!1s0x865b5242ec3bbad5:0x1110716d16468917!8m2!3d30.0881756!4d-97.822476!16s%2Fg%2F1tfwqczr!19sChIJ1bo77EJSW4YRF4lGFm1xEBE?authuser=0&hl=en&rclk=1
MOD FITNESS,https://www.google.com/maps/place/MOD+FITNESS/data=!4m7!3m6!1s0x8644b4d92be79893:0x4af9771a4cd1a449!8m2!3d30.2547848!4d-97.761429!16s%2Fg%2F1hhw2ydk8!19sChIJk5jnK9m0RIYRSaTRTBp3-Uo?authuser=0&hl=en&rclk=1
Community Strength Austin,https://www.google.com/maps/place/Community+Strength+Austin/data=!4m7!3m6!1s0x8644b52d608c51ef:0x9c786e67790f59b1!8m2!3d30.2504142!4d-97.7739562!16s%2Fg%2F11tg133nmc!19sChIJ71GMYC21RIYRsVkPeWdueJw?authuser=0&hl=en&rclk=1
Kid's Gym,https://www.google.com/maps/place/Kid's+Gym/data=!4m7!3m6!1s0x865b497ce2b659f7:0x639ecbe73f43dd32!8m2!3d30.235755!4d-97.8749432!16s%2Fg%2F11k5ls7hkn!19sChIJ91m24nxJW4YRMt1DP-fLnmM?authuser=0&hl=en&rclk=1
